,id,repetido,labels,labels_int
0,1432737868443697152,False,,
1,1432651956754030594,False,,
2,1430853756036517892,False,,
3,1429084392371232775,False,,
4,1424382512537735173,False,,
5,1423455866662031365,False,,
6,1423096220646612993,False,[0. 1. 0.],1.0
7,1423092696059682822,False,,
8,1420757580721229826,False,,
9,1420153490983329801,False,,
10,1416413634666844171,False,[0. 1. 0.],1.0
11,1416168802467958785,False,,
12,1415819291354611713,False,,
13,1415479939852390406,False,,
14,1412581432602599425,False,,
15,1409649871343165440,False,,
16,1408906501624844288,False,,
17,1408006470403346435,False,,
18,1407641059455344640,False,,
19,1407142868595191817,False,,
20,1407142419850801158,False,,
21,1406692681141657602,False,,
22,1405856222167842822,False,,
23,1405693130284883972,False,,
24,1405328917469204481,False,,
25,1401129308706463750,False,,
26,1401127058227486721,False,,
27,1401123868207550466,False,,
28,1401123401041915904,False,[0. 1. 0.],1.0
29,1391926223320895498,False,,
30,1382063686773321734,False,[0. 1. 0.],1.0
31,1379249226165682180,False,,
32,1378799614606766080,False,,
33,1377413327089848320,False,,
34,1376695958579257346,False,,
35,1372010009840730116,False,,
36,1369495887853088771,False,,
37,1368926022905688068,False,,
38,1367303517732495363,False,,
39,1366511202365489166,False,,
40,1366036005468438532,False,,
41,1365307903113101317,False,,
42,1365072610262994945,False,,
43,1364725842673340421,False,,
44,1364365413363167235,False,,
45,1364016614581161985,False,,
46,1363501462890962947,False,,
47,1362578085980364800,False,,
48,1362568786734428164,False,,
49,1362555129703129091,False,,
50,1362058575762386949,False,,
51,1361697257440083968,False,,
52,1361663531297492994,False,,
53,1361474242659954689,False,,
54,1361073764805603332,False,,
55,1360676149651791877,False,[0. 1. 0.],1.0
56,1359655867285651457,False,,
57,1358986355246776320,False,,
58,1358968965247225856,False,,
59,1358967211352817664,False,,
60,1358475582611333129,False,,
61,1358473045120270336,False,[0. 1. 0.],1.0
62,1358192514730250241,False,,
63,1358182031637827587,False,,
64,1357855428319846404,False,,
65,1357850771837100037,False,,
66,1357517710968643586,False,,
67,1357504011713339392,False,,
68,1357501080234577921,False,,
69,1356794544348610562,False,,
70,1356794537008631813,False,,
71,1351900561667330051,False,,
72,1346253177432240129,False,,
73,1338673101744320512,False,,
74,1338638607855316994,False,,
75,1336316287417540609,False,,
76,1334973728241954824,False,,
77,1334485324714684417,False,,
78,1334324143538507776,False,,
79,1319827941195456512,False,,
80,1319827620415012864,False,,
81,1319827567201890306,False,,
82,1319827025306263552,False,,
83,1318724205987463169,False,,
84,1427981382945542158,False,,
85,1408422738507845635,False,,
86,1395868594530029568,False,,
87,1365796771234988032,False,,
88,1364420095070658569,False,,
89,1364420071062458372,False,,
90,1364320277513969664,False,,
91,1356257967054573572,False,,
92,1354826613838512128,False,,
93,1329443552225599490,False,,
94,1328879799377522689,False,,
95,1328862249025298432,False,,
96,1328779061636849664,False,,
97,1328419082966872065,False,,
98,1327984869868179456,False,[0. 1. 0.],1.0
99,1327780719184195584,False,,
100,1327424042303832064,False,,
101,1326714262593564672,False,,
102,1326696953892270081,False,,
103,1326291576113524737,False,,
104,1326179246050512901,False,,
105,1325782598866571268,False,[0. 1. 0.],1.0
106,1325414472886972417,False,,
107,1325232648915197956,False,,
108,1325212134016385030,False,,
109,1325096227315224577,False,,
110,1324715214336647170,False,[0. 1. 0.],1.0
111,1324458476744200192,False,,
112,1324038041611194368,False,[0. 1. 0.],1.0
113,1323756421289283586,False,,
114,1323299404976168962,False,,
115,1322653295316504576,False,,
116,1322567622572019713,False,,
117,1322559463052746755,False,,
118,1322236426357006339,False,,
119,1322227730830757889,False,,
120,1322223650020433921,False,,
121,1321892478455214080,False,,
122,1321842453326999555,False,,
123,1321792697946923008,False,,
124,1321124482510213121,False,,
125,1320809302479622144,False,,
126,1320487718162452480,False,,
127,1320427214970695682,False,,
128,1320016495691374592,False,,
129,1319605301318909953,False,,
130,1319456452319346688,False,,
131,1319443545988661249,False,,
132,1319343987979739136,False,[0. 1. 0.],1.0
133,1319084643153547265,False,,
134,1318739925320257536,False,,
135,1318673162649952256,False,,
136,1318610356248391680,False,,
137,1318194505334415361,False,,
138,1317636453019549696,False,,
139,1317268105215827971,False,[0. 1. 0.],1.0
140,1317133470334857221,False,,
141,1316505087733305344,False,,
142,1316365694544441349,False,,
143,1316008763829161984,False,,
144,1315666139712757760,False,,
145,1315479489904812033,False,,
146,1315391516765020161,False,,
147,1314940214796849153,False,,
148,1314916121796120577,False,[0. 1. 0.],1.0
149,1314594254015074304,False,,
150,1314063976662269952,False,,
151,1313432167960186881,False,,
152,1313241864837959681,False,,
153,1312888381026828290,False,,
154,1311836250572296192,False,,
155,1311759264172724224,False,,
156,1310695324105822209,False,,
157,1309979235008868352,False,,
158,1309645913674063873,False,,
159,1309598770091483141,False,,
160,1309251863938695168,False,,
161,1308520471957319680,False,,
162,1308381468478111745,False,,
163,1308075899489849350,False,,
164,1308041138809352193,False,,
165,1307734824606597121,False,,
166,1307115014688473089,False,,
167,1306980861213118465,False,,
168,1306384595793969153,False,,
169,1306023339081830400,False,,
170,1305907419055353861,False,,
171,1305616653783269380,False,,
172,1305279686646398976,False,,
173,1305247577378562050,False,,
174,1305221896879906828,False,,
175,1305138902056030208,False,,
176,1304525421850042368,False,,
177,1303832434128150528,False,,
178,1303013921851404288,False,,
179,1302787130742235138,False,,
